    target  danceability  energy  key  loudness  mode  speechiness  acousticness  instrumentalness  liveness  valence    tempo            type                      id                                   uri                                                track_href                                                      analysis_url  duration_ms  time_signature
16       1         0.783   0.453    6    -7.849     0       0.0648      0.001310          0.893000    0.1040   0.5560  128.003  audio_features  75T1xBaarYAqYdNtFZxUaZ  spotify:track:75T1xBaarYAqYdNtFZxUaZ  https://api.spotify.com/v1/tracks/75T1xBaarYAqYdNtFZxUaZ  https://api.spotify.com/v1/audio-analysis/75T1xBaarYAqYdNtFZxUaZ       349798               4
17       1         0.643   0.920    0    -3.761     0       0.0593      0.001160          0.119000    0.0697   0.7660  139.981  audio_features  4vHaX0pROEVuldjuhkKGHY  spotify:track:4vHaX0pROEVuldjuhkKGHY  https://api.spotify.com/v1/tracks/4vHaX0pROEVuldjuhkKGHY  https://api.spotify.com/v1/audio-analysis/4vHaX0pROEVuldjuhkKGHY       249789               4
18       1         0.813   0.902    9    -4.635     1       0.0502      0.001670          0.010100    0.3370   0.7430  120.006  audio_features  3Doc0i6JsXK3N1DhhYvmmV  spotify:track:3Doc0i6JsXK3N1DhhYvmmV  https://api.spotify.com/v1/tracks/3Doc0i6JsXK3N1DhhYvmmV  https://api.spotify.com/v1/audio-analysis/3Doc0i6JsXK3N1DhhYvmmV       285407               4
19       1         0.660   0.803   11    -4.127     0       0.1150      0.000707          0.236000    0.1160   0.6430  139.855  audio_features  4lY0v0skiWm1UjRZTVXCnh  spotify:track:4lY0v0skiWm1UjRZTVXCnh  https://api.spotify.com/v1/tracks/4lY0v0skiWm1UjRZTVXCnh  https://api.spotify.com/v1/audio-analysis/4lY0v0skiWm1UjRZTVXCnh       249480               4
20       1         0.586   0.958    8    -4.013     0       0.0517      0.000240          0.581000    0.3650   0.6760  139.956  audio_features  6U1NDB1DscqQUGSHJnNwLL  spotify:track:6U1NDB1DscqQUGSHJnNwLL  https://api.spotify.com/v1/tracks/6U1NDB1DscqQUGSHJnNwLL  https://api.spotify.com/v1/audio-analysis/6U1NDB1DscqQUGSHJnNwLL       231268               4
21       1         0.659   0.619    0    -7.389     1       0.0500      0.004580          0.972000    0.0897   0.1190  128.015  audio_features  3Qntjzw2xY1VDb6x808BPi  spotify:track:3Qntjzw2xY1VDb6x808BPi  https://api.spotify.com/v1/tracks/3Qntjzw2xY1VDb6x808BPi  https://api.spotify.com/v1/audio-analysis/3Qntjzw2xY1VDb6x808BPi       306560               4
22       1         0.617   0.880    1    -8.159     1       0.0372      0.008790          0.801000    0.0877   0.5670  127.970  audio_features  03ZVYKmbPwM3cNqPuWvVPV  spotify:track:03ZVYKmbPwM3cNqPuWvVPV  https://api.spotify.com/v1/tracks/03ZVYKmbPwM3cNqPuWvVPV  https://api.spotify.com/v1/audio-analysis/03ZVYKmbPwM3cNqPuWvVPV       202383               4
23       1         0.336   0.882    5    -5.483     0       0.0361      0.002350          0.118000    0.0978   0.2430  139.994  audio_features  2cdqT34gd7gp3fhURx0s7P  spotify:track:2cdqT34gd7gp3fhURx0s7P  https://api.spotify.com/v1/tracks/2cdqT34gd7gp3fhURx0s7P  https://api.spotify.com/v1/audio-analysis/2cdqT34gd7gp3fhURx0s7P       236947               4
24       1         0.801   0.500   10    -6.412     0       0.0493      0.000188          0.730000    0.4400   0.5380  128.047  audio_features  2J6E9INbQjqB5zGufsojQr  spotify:track:2J6E9INbQjqB5zGufsojQr  https://api.spotify.com/v1/tracks/2J6E9INbQjqB5zGufsojQr  https://api.spotify.com/v1/audio-analysis/2J6E9INbQjqB5zGufsojQr       371159               4
25       1         0.606   0.965    5    -1.523     0       0.0513      0.011900          0.014300    0.0800   0.5770  140.072  audio_features  7c9DY8FCGKkOQIQe7G8Qe9  spotify:track:7c9DY8FCGKkOQIQe7G8Qe9  https://api.spotify.com/v1/tracks/7c9DY8FCGKkOQIQe7G8Qe9  https://api.spotify.com/v1/audio-analysis/7c9DY8FCGKkOQIQe7G8Qe9       317357               4
